,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.003745996,0.00068035,0.001652,0.0035765,0.003746,0.003746,0.003746,0.003746
1,0.004559512,0.00082805,0.002011,0.0043535,0.004559,0.004559,0.004559,0.004559
1,0.004559512,0.00082805,0.002011,0.0043535,0.004559,0.004559,0.004559,0.004559
1,0.004559512,0.00082805,0.002011,0.0043535,0.004559,0.004559,0.004559,0.004559
1,0.004330996,0.0007866,0.00191,0.0041355,0.004331,0.004331,0.004331,0.004331
1,0.004330996,0.0007866,0.00191,0.0041355,0.004331,0.004331,0.004331,0.004331
1,0.003901387,0.00070855,0.001721,0.003725,0.003901,0.003901,0.003901,0.003901
1,0.003901387,0.00070855,0.001721,0.003725,0.003901,0.003901,0.003901,0.003901
1,0.003901387,0.00070855,0.001721,0.003725,0.003901,0.003901,0.003901,0.003901
1,0.004550371,0.00082645,0.002007,0.0043445,0.00455,0.00455,0.00455,0.00455
1,0.004550371,0.00082645,0.002007,0.0043445,0.00455,0.00455,0.00455,0.00455
1,0.004486387,0.0008148,0.001979,0.0042835,0.004486,0.004486,0.004486,0.004486
1,0.004486387,0.0008148,0.001979,0.0042835,0.004486,0.004486,0.004486,0.004486
1,0.004486387,0.0008148,0.001979,0.0042835,0.004486,0.004486,0.004486,0.004486
1,0.003965371,0.0007202,0.001749,0.003786,0.003965,0.003965,0.003965,0.003965
1,0.003965371,0.0007202,0.001749,0.003786,0.003965,0.003965,0.003965,0.003965
1,0.004193887,0.00076165,0.00185,0.004004,0.004194,0.004194,0.004194,0.004194
1,0.004193887,0.00076165,0.00185,0.004004,0.004194,0.004194,0.004194,0.004194
1,0.004193887,0.00076165,0.00185,0.004004,0.004194,0.004194,0.004194,0.004194
1,0.004257871,0.0007733,0.001878,0.0040655,0.004258,0.004258,0.004258,0.004258
1,0.004257871,0.0007733,0.001878,0.0040655,0.004258,0.004258,0.004258,0.004258
1,0.004778887,0.0008679,0.002108,0.004563,0.004779,0.004779,0.004779,0.004779
1,0.004778887,0.0008679,0.002108,0.004563,0.004779,0.004779,0.004779,0.004779
1,0.004778887,0.0008679,0.002108,0.004563,0.004779,0.004779,0.004779,0.004779
1,0.004842871,0.00087955,0.002136,0.004624,0.004843,0.004843,0.004843,0.004843
1,0.004842871,0.00087955,0.002136,0.004624,0.004843,0.004843,0.004843,0.004843
1,0.004340137,0.00078825,0.001914,0.0041435,0.00434,0.00434,0.00434,0.00434
1,0.004340137,0.00078825,0.001914,0.0041435,0.00434,0.00434,0.00434,0.00434
1,0.004340137,0.00078825,0.001914,0.0041435,0.00434,0.00434,0.00434,0.00434
1,0.004404121,0.00079985,0.001943,0.004205,0.004404,0.004404,0.004404,0.004404
1,0.004404121,0.00079985,0.001943,0.004205,0.004404,0.004404,0.004404,0.004404
1,0.003755137,0.000682,0.001656,0.0035855,0.003755,0.003755,0.003755,0.003755
1,0.003755137,0.000682,0.001656,0.0035855,0.003755,0.003755,0.003755,0.003755
1,0.003755137,0.000682,0.001656,0.0035855,0.003755,0.003755,0.003755,0.003755
1,0.003819121,0.0006936,0.001685,0.0036465,0.003819,0.003819,0.003819,0.003819
1,0.003819121,0.0006936,0.001685,0.0036465,0.003819,0.003819,0.003819,0.003819
1,0.004632637,0.00084135,0.002043,0.0044235,0.004633,0.004633,0.004633,0.004633
1,0.004632637,0.00084135,0.002043,0.0044235,0.004633,0.004633,0.004633,0.004633
1,0.004632637,0.00084135,0.002043,0.0044235,0.004633,0.004633,0.004633,0.004633
1,0.004111621,0.0007467,0.001814,0.0039255,0.004112,0.004112,0.004112,0.004112
1,0.004111621,0.0007467,0.001814,0.0039255,0.004112,0.004112,0.004112,0.004112
1,0.004047637,0.00073515,0.001785,0.0038645,0.004048,0.004048,0.004048,0.004048
1,0.004047637,0.00073515,0.001785,0.0038645,0.004048,0.004048,0.004048,0.004048
1,0.004047637,0.00073515,0.001785,0.0038645,0.004048,0.004048,0.004048,0.004048
1,0.004696621,0.00085295,0.002072,0.0044845,0.004697,0.004697,0.004697,0.004697
1,0.004696621,0.00085295,0.002072,0.0044845,0.004697,0.004697,0.004697,0.004697
1,0.003846543,0.00069855,0.001697,0.003673,0.003847,0.003847,0.003847,0.003847
1,0.003846543,0.00069855,0.001697,0.003673,0.003847,0.003847,0.003847,0.003847
1,0.003846543,0.00069855,0.001697,0.003673,0.003847,0.003847,0.003847,0.003847
1,0.004861152,0.00088285,0.002144,0.004641,0.004861,0.004861,0.004861,0.004861
1,0.004861152,0.00088285,0.002144,0.004641,0.004861,0.004861,0.004861,0.004861
1,0.004431543,0.0008048,0.001955,0.004231,0.004431,0.004431,0.004431,0.004431
1,0.004431543,0.0008048,0.001955,0.004231,0.004431,0.004431,0.004431,0.004431
1,0.004431543,0.0008048,0.001955,0.004231,0.004431,0.004431,0.004431,0.004431
1,0.004276152,0.0007766,0.001886,0.004083,0.004276,0.004276,0.004276,0.004276
1,0.004276152,0.0007766,0.001886,0.004083,0.004276,0.004276,0.004276,0.004276
1,0.004139043,0.0007517,0.001826,0.003952,0.004139,0.004139,0.004139,0.004139
1,0.004139043,0.0007517,0.001826,0.003952,0.004139,0.004139,0.004139,0.004139
1,0.004139043,0.0007517,0.001826,0.003952,0.004139,0.004139,0.004139,0.004139
1,0.003983652,0.0007235,0.001757,0.0038035,0.003984,0.003984,0.003984,0.003984
1,0.003983652,0.0007235,0.001757,0.0038035,0.003984,0.003984,0.003984,0.003984
